,GISJoinMatchCode,DataFileYear,EstimatesMedianyearstructurebuilt
154,G0800050006855,2014-2018,1994
155,G0800050006856,2014-2018,2006
156,G0800050006857,2014-2018,1986
157,G0800050006858,2014-2018,1997
158,G0800050007101,2014-2018,1985
159,G0800050007103,2014-2018,2000
160,G0800050007104,2014-2018,NA
161,G0800050007105,2014-2018,2006
162,G0800050007106,2014-2018,2006
163,G0800050007107,2014-2018,2010
164,G0800050007201,2014-2018,1968
165,G0800050007202,2014-2018,1961
166,G0800050007301,2014-2018,1972
167,G0800050007302,2014-2018,1968
168,G0800050007400,2014-2018,1957
169,G0800050007500,2014-2018,1957
170,G0800050007600,2014-2018,1972
171,G0800050007702,2014-2018,1974
172,G0800050007703,2014-2018,1972
173,G0800050007704,2014-2018,1978
174,G0800050015100,2014-2018,1960
175,G0800050080000,2014-2018,1974
176,G0800050080100,2014-2018,1979
177,G0800050080200,2014-2018,1977
178,G0800050080300,2014-2018,1980
179,G0800050080400,2014-2018,1976
180,G0800050080500,2014-2018,1982
181,G0800050080600,2014-2018,1983
182,G0800050080700,2014-2018,1976
183,G0800050080800,2014-2018,1977
184,G0800050080900,2014-2018,1967
185,G0800050081000,2014-2018,1987
186,G0800050081100,2014-2018,1985
187,G0800050081200,2014-2018,1979
188,G0800050081300,2014-2018,1978
189,G0800050081400,2014-2018,1980
190,G0800050081500,2014-2018,1978
191,G0800050081600,2014-2018,1977
192,G0800050081700,2014-2018,1987
193,G0800050081800,2014-2018,1978
194,G0800050081900,2014-2018,1976
195,G0800050082000,2014-2018,1990
196,G0800050082100,2014-2018,1982
197,G0800050082200,2014-2018,1983
198,G0800050082300,2014-2018,1982
199,G0800050082400,2014-2018,1978
200,G0800050082500,2014-2018,1976
201,G0800050082600,2014-2018,1988
202,G0800050082700,2014-2018,1991
203,G0800050082800,2014-2018,1981
204,G0800050082900,2014-2018,1987
205,G0800050083000,2014-2018,2005
206,G0800050083100,2014-2018,2003
207,G0800050083200,2014-2018,2001
208,G0800050083300,2014-2018,1991
209,G0800050083400,2014-2018,1985
210,G0800050083500,2014-2018,1986
211,G0800050083600,2014-2018,1985
212,G0800050083700,2014-2018,1989
213,G0800050083800,2014-2018,1981
214,G0800050083900,2014-2018,1989
215,G0800050084000,2014-2018,1979
216,G0800050084100,2014-2018,1982
217,G0800050084200,2014-2018,1983
218,G0800050084300,2014-2018,1985
219,G0800050084400,2014-2018,NA
220,G0800050084500,2014-2018,1989
221,G0800050084600,2014-2018,1979
222,G0800050084700,2014-2018,1980
223,G0800050084800,2014-2018,1991
224,G0800050084900,2014-2018,1991
225,G0800050085000,2014-2018,2002
226,G0800050085100,2014-2018,NA
227,G0800050085200,2014-2018,1998
228,G0800050085300,2014-2018,2004
229,G0800050085400,2014-2018,1992
230,G0800050085500,2014-2018,1986
231,G0800050085600,2014-2018,NA
232,G0800050085700,2014-2018,NA
233,G0800050085800,2014-2018,1988
234,G0800050085900,2014-2018,2007
235,G0800050086000,2014-2018,2004
236,G0800050086100,2014-2018,1992
237,G0800050086200,2014-2018,1994
238,G0800050086300,2014-2018,2003
239,G0800050086400,2014-2018,1987
240,G0800050086500,2014-2018,2004
241,G0800050086600,2014-2018,2005
242,G0800050086700,2014-2018,2006
243,G0800050086800,2014-2018,1989
244,G0800050086900,2014-2018,1996
245,G0800050087000,2014-2018,1990
246,G0800050087100,2014-2018,1979
247,G0800050087200,2014-2018,1990
248,G0800050087300,2014-2018,1984
249,G0800070940400,2014-2018,1991
250,G0800070974200,2014-2018,1996
251,G0800070974300,2014-2018,1995
252,G0800070974400,2014-2018,1992
253,G0800090964600,2014-2018,1962
254,G0800090964700,2014-2018,1968
255,G0800110966700,2014-2018,1955
256,G0800130012101,2014-2018,1957
257,G0800130012102,2014-2018,1971
258,G0800130012103,2014-2018,1983
259,G0800130012104,2014-2018,1983
260,G0800130012105,2014-2018,1992
261,G0800130012201,2014-2018,1974
262,G0800130012202,2014-2018,1976
263,G0800130012203,2014-2018,1986
264,G0800130012204,2014-2018,1966
265,G0800130012300,2014-2018,1975
266,G0800130012401,2014-2018,1950
267,G0800130012501,2014-2018,1977
268,G0800130012505,2014-2018,1967
269,G0800130012507,2014-2018,1960
270,G0800130012508,2014-2018,1973
271,G0800130012509,2014-2018,NA
272,G0800130012510,2014-2018,1974
273,G0800130012511,2014-2018,1973
274,G0800130012603,2014-2018,1975
275,G0800130012605,2014-2018,1980
276,G0800130012607,2014-2018,1975
277,G0800130012608,2014-2018,1972
278,G0800130012701,2014-2018,1986
279,G0800130012705,2014-2018,1986
280,G0800130012707,2014-2018,1979
281,G0800130012708,2014-2018,1984
282,G0800130012709,2014-2018,1974
283,G0800130012710,2014-2018,1977
284,G0800130012800,2014-2018,2000
285,G0800130012903,2014-2018,1997
286,G0800130012904,2014-2018,1991
287,G0800130012905,2014-2018,1978
288,G0800130012907,2014-2018,1987
289,G0800130013003,2014-2018,1987
290,G0800130013004,2014-2018,1988
291,G0800130013005,2014-2018,1975
292,G0800130013006,2014-2018,1986
293,G0800130013201,2014-2018,1976
294,G0800130013202,2014-2018,1978
295,G0800130013205,2014-2018,1981
296,G0800130013207,2014-2018,1988
297,G0800130013208,2014-2018,1981
298,G0800130013210,2014-2018,1976
299,G0800130013211,2014-2018,1995
300,G0800130013212,2014-2018,1995
301,G0800130013213,2014-2018,2003
302,G0800130013302,2014-2018,1949
303,G0800130013305,2014-2018,1987
304,G0800130013306,2014-2018,1977
305,G0800130013307,2014-2018,1970
306,G0800130013308,2014-2018,1967
307,G0800130013401,2014-2018,1941
308,G0800130013402,2014-2018,1989
309,G0800130013503,2014-2018,1971
310,G0800130013505,2014-2018,1977
311,G0800130013506,2014-2018,2001
312,G0800130013507,2014-2018,1977
313,G0800130013508,2014-2018,2003
314,G0800130013601,2014-2018,1981
315,G0800130013602,2014-2018,1958
316,G0800130013701,2014-2018,1979
317,G0800130013702,2014-2018,1977
318,G0800130060600,2014-2018,1995
319,G0800130060700,2014-2018,1993
320,G0800130060800,2014-2018,1984
321,G0800130060900,2014-2018,1990
322,G0800130061300,2014-2018,NA
323,G0800130061400,2014-2018,1999
324,G0800140030000,2014-2018,1958
325,G0800140030100,2014-2018,1966
326,G0800140030200,2014-2018,1983
327,G0800140030300,2014-2018,1984
328,G0800140030400,2014-2018,1978
329,G0800140030500,2014-2018,NA
330,G0800140030600,2014-2018,1980
331,G0800140030700,2014-2018,1996
332,G0800140030800,2014-2018,1993
333,G0800140030900,2014-2018,1993
334,G0800140031000,2014-2018,NA
335,G0800140031100,2014-2018,2009
336,G0800140031200,2014-2018,2002
337,G0800140031300,2014-2018,2008
338,G0800140031400,2014-2018,2010
339,G0800140980100,2014-2018,NA
340,G0800140980200,2014-2018,NA
341,G0800140980300,2014-2018,NA
342,G0800150000100,2014-2018,0
343,G0800150000200,2014-2018,1976
344,G0800150000300,2014-2018,1995
345,G0800150000401,2014-2018,1991
346,G0800150000402,2014-2018,1990
347,G0800170960600,2014-2018,1972
348,G0800190014700,2014-2018,1979
349,G0800190014800,2014-2018,0
350,G0800190014900,2014-2018,1967
351,G0800210974800,2014-2018,1973
352,G0800210974900,2014-2018,1977
353,G0800230972600,2014-2018,1990
354,G0800230972700,2014-2018,1960
355,G0800250969600,2014-2018,1954
356,G0800270970100,2014-2018,1992
357,G0800290964600,2014-2018,1976
358,G0800290964700,2014-2018,1984
359,G0800290964800,2014-2018,1980
360,G0800290964900,2014-2018,1990
361,G0800290965000,2014-2018,1982
362,G0800290965100,2014-2018,1972
363,G0800290965200,2014-2018,1990
364,G0800310000102,2014-2018,1941
365,G0800310000201,2014-2018,1948
366,G0800310000202,2014-2018,1948
367,G0800310000301,2014-2018,0
368,G0800310000302,2014-2018,1952
369,G0800310000303,2014-2018,0
370,G0800310000401,2014-2018,0
371,G0800310000402,2014-2018,1954
372,G0800310000501,2014-2018,1948
373,G0800310000502,2014-2018,1952
374,G0800310000600,2014-2018,2000
375,G0800310000701,2014-2018,1958
376,G0800310000702,2014-2018,1967
377,G0800310000800,2014-2018,1957
378,G0800310000902,2014-2018,1954
379,G0800310000903,2014-2018,1953
380,G0800310000904,2014-2018,1964
381,G0800310000905,2014-2018,1947
382,G0800310001000,2014-2018,1952
383,G0800310001101,2014-2018,1945
384,G0800310001102,2014-2018,1995
385,G0800310001301,2014-2018,NA
386,G0800310001302,2014-2018,1956
387,G0800310001401,2014-2018,1958
388,G0800310001402,2014-2018,1957
389,G0800310001403,2014-2018,1961
390,G0800310001500,2014-2018,1942
391,G0800310001600,2014-2018,2006
392,G0800310001701,2014-2018,2002
393,G0800310001702,2014-2018,1973
394,G0800310001800,2014-2018,1978
395,G0800310001901,2014-2018,1964
396,G0800310001902,2014-2018,0
397,G0800310002000,2014-2018,2002
398,G0800310002100,2014-2018,0
399,G0800310002300,2014-2018,0
400,G0800310002402,2014-2018,0
401,G0800310002403,2014-2018,1986
402,G0800310002601,2014-2018,1974
403,G0800310002602,2014-2018,1995
404,G0800310002701,2014-2018,1947
405,G0800310002702,2014-2018,1963
406,G0800310002703,2014-2018,1953
407,G0800310002801,2014-2018,1953
408,G0800310002802,2014-2018,1961
409,G0800310002803,2014-2018,1966
410,G0800310002901,2014-2018,0
411,G0800310002902,2014-2018,0
412,G0800310003001,2014-2018,0
413,G0800310003002,2014-2018,1952
414,G0800310003003,2014-2018,1957
415,G0800310003004,2014-2018,1955
416,G0800310003101,2014-2018,0
417,G0800310003102,2014-2018,1954
418,G0800310003201,2014-2018,1952
419,G0800310003202,2014-2018,1966
420,G0800310003203,2014-2018,0
421,G0800310003300,2014-2018,0
422,G0800310003401,2014-2018,1971
423,G0800310003402,2014-2018,0
424,G0800310003500,2014-2018,1951
425,G0800310003601,2014-2018,0
