Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G0800010009502,82,9,5760000.000000000000000,868.200927734375000,869.226379394531250,1.025451660156250,868.762342664930543,0.480422007993055,7818.861083984375000
,G0800010009553,83,21,13440000.000000000000000,869.900268554687500,872.147583007812500,2.247314453125000,871.071794782366055,0.795672011367392,18292.507690429687500
,G0800010009603,84,5,3200000.000000000000000,863.924377441406250,865.134948730468750,1.210571289062500,864.454553222656273,0.523993712675895,4322.272766113281250
,G0800010009604,85,6,3840000.000000000000000,864.198425292968750,867.199157714843750,3.000732421875000,866.012715657552121,1.054673126278760,5196.076293945312500
,G0800010009606,86,8,5120000.000000000000000,866.233520507812500,867.254150390625000,1.020629882812500,866.744636535644531,0.495237303446241,6933.957092285156250
,G0800010009607,87,5,3200000.000000000000000,864.245300292968750,865.267517089843750,1.022216796875000,865.054162597656273,0.404551212387176,4325.270812988281250
,G0800010009608,88,3,1920000.000000000000000,864.254333496093750,864.273132324218750,0.018798828125000,864.265869140625000,0.008247804821695,2592.797607421875000
,G0800010009751,89,12,7680000.000000000000000,864.069213867187500,867.167968750000000,3.098754882812500,865.617675781250000,1.098487996482213,10387.412109375000000
,G0800010009752,90,5,3200000.000000000000000,867.970825195312500,869.040527343750000,1.069702148437500,868.433056640624955,0.458614169934212,4342.165283203125000
,G0800010015000,91,44,28160000.000000000000000,872.754699707031250,878.520263671875000,5.765563964843750,875.243501143022058,1.604618872271778,38510.714050292968750
,G0800010060000,92,58,37120000.000000000000000,859.156677246093750,873.042480468750000,13.885803222656250,866.239943931842618,3.588580588758957,50241.916748046875000
,G0800010060100,93,19,12160000.000000000000000,861.777343750000000,867.452697753906250,5.675354003906250,864.813531172902913,1.538523297124374,16431.457092285156250
,G0800010060200,94,11,7040000.000000000000000,862.385742187500000,868.371398925781250,5.985656738281250,865.775201970880630,1.798630095408751,9523.527221679687500
,G0800010061200,95,27,17280000.000000000000000,861.524902343750000,870.293518066406250,8.768615722656250,866.186880606192176,2.448252961915113,23387.045776367187500
,G0800010988700,96,174,111360000.000000000000000,883.655151367187500,893.636230468750000,9.981079101562500,889.349509403623415,2.822250165200214,154746.814636230468750
,G0800030960000,97,3459,2213760000.000000000000000,77.352073669433594,431.210754394531250,353.858680725097656,191.838333639391379,73.491394446078132,663568.796058654785156
,G0800030960100,98,1031,659840000.000000000000000,76.496772766113281,138.809814453125000,62.313041687011719,95.469194946881061,12.827035169355247,98428.739990234375000
,G0800030960200,99,59,37760000.000000000000000,78.073532104492188,91.664573669433594,13.591041564941406,82.429593490341958,3.729921863780115,4863.346015930175781
,G0800030960300,100,85,54400000.000000000000000,76.405189514160156,85.136009216308594,8.730819702148438,78.811581690171181,2.099580291015957,6698.984443664550781
,G0800050004951,101,1,640000.000000000000000,873.171752929687500,873.171752929687500,0.000000000000000,873.171752929687500,0.000000000000000,873.171752929687500
,G0800050004952,102,5,3200000.000000000000000,872.372314453125000,874.205688476562500,1.833374023437500,873.312792968750045,0.634593068510599,4366.563964843750000
,G0800050005551,103,9,5760000.000000000000000,858.101257324218750,861.977111816406250,3.875854492187500,860.213311089409672,1.192786733162017,7741.919799804687500
,G0800050005552,104,5,3200000.000000000000000,856.711791992187500,858.309326171875000,1.597534179687500,857.426806640625045,0.572713656202275,4287.134033203125000
,G0800050005553,105,8,5120000.000000000000000,854.237487792968750,857.064880371093750,2.827392578125000,855.740135192871094,0.820432449267699,6845.921081542968750
,G0800050005611,106,8,5120000.000000000000000,855.751220703125000,858.619750976562500,2.868530273437500,857.180549621582031,0.868878963547837,6857.444396972656250
,G0800050005612,107,12,7680000.000000000000000,857.300598144531250,860.964843750000000,3.664245605468750,859.123545328776004,1.011878221970884,10309.482543945312500
,G0800050005614,108,4,2560000.000000000000000,858.483398437500000,859.983032226562500,1.499633789062500,859.230834960937500,0.532926017590895,3436.923339843750000
,G0800050005619,109,10,6400000.000000000000000,850.762145996093750,853.582275390625000,2.820129394531250,852.343420410156227,0.875853291155161,8523.434204101562500
,G0800050005620,110,3,1920000.000000000000000,853.655090332031250,855.084533691406250,1.429443359375000,854.358011881510379,0.583806365609547,2563.074035644531250
,G0800050005621,111,4,2560000.000000000000000,848.695678710937500,850.810241699218750,2.114562988281250,849.747344970703125,0.786306026283707,3398.989379882812500
,G0800050005622,112,18,11520000.000000000000000,845.767761230468750,852.961791992187500,7.194030761718750,849.458289252387203,2.071004890225786,15290.249206542968750
,G0800050005623,113,10,6400000.000000000000000,849.295959472656250,852.243957519531250,2.947998046875000,850.888684082031205,0.914881185908692,8508.886840820312500
,G0800050005624,114,6,3840000.000000000000000,851.992370605468750,853.471862792968750,1.479492187500000,852.653696695963504,0.495848759785533,5115.922180175781250
,G0800050005625,115,6,3840000.000000000000000,853.323425292968750,855.635864257812500,2.312438964843750,854.476735432942746,0.749565183387332,5126.860412597656250
,G0800050005626,116,6,3840000.000000000000000,854.638610839843750,856.982543945312500,2.343933105468750,855.807810465494754,0.762473525127708,5134.846862792968750
,G0800050005627,117,6,3840000.000000000000000,855.934570312500000,858.307189941406250,2.372619628906250,857.118275960286496,0.774821489242644,5142.709655761718750
,G0800050005628,118,9,5760000.000000000000000,857.207641601562500,860.244628906250000,3.036987304687500,858.720214843750000,0.888838859677995,7728.481933593750000
,G0800050005629,119,6,3840000.000000000000000,855.400085449218750,857.537719726562500,2.137634277343750,856.465159098307254,0.677314940448179,5138.790954589843750
,G0800050005630,120,4,2560000.000000000000000,854.167175292968750,855.687072753906250,1.519897460937500,854.924575805664063,0.545841786263431,3419.698303222656250
,G0800050005631,121,4,2560000.000000000000000,852.912353515625000,854.422302246093750,1.509948730468750,853.664733886718750,0.540537686752979,3414.658935546875000
,G0800050005632,122,4,2560000.000000000000000,851.639221191406250,853.136962890625000,1.497741699218750,852.385437011718750,0.534707084513911,3409.541748046875000
,G0800050005633,123,5,3200000.000000000000000,849.855957031250000,851.834533691406250,1.978576660156250,850.941723632812455,0.686395922996590,4254.708618164062500
,G0800050005634,124,11,7040000.000000000000000,846.426696777343750,850.996765136718750,4.570068359375000,848.665849165482996,1.310272795408504,9335.324340820312500
,G0800050005635,125,7,4480000.000000000000000,859.814880371093750,861.976379394531250,2.161499023437500,860.878932407924140,0.633759571907486,6026.152526855468750
,G0800050005636,126,14,8960000.000000000000000,860.110778808593750,864.458312988281250,4.347534179687500,862.382254464285666,1.140645087871477,12073.351562500000000
,G0800050005700,127,7,4480000.000000000000000,860.513000488281250,863.321350097656250,2.808349609375000,862.057067871093750,0.862568883164120,6034.399475097656250
,G0800050005800,128,2,1280000.000000000000000,864.126953125000000,864.927246093750000,0.800292968750000,864.527099609375000,0.400146484375000,1729.054199218750000
,G0800050005951,129,4,2560000.000000000000000,862.892333984375000,864.310302734375000,1.417968750000000,863.599212646484375,0.504423534855615,3454.396850585937500
,G0800050005952,130,4,2560000.000000000000000,864.453979492187500,865.876770019531250,1.422790527343750,865.163314819335938,0.505104773141863,3460.653259277343750
,G0800050006000,131,8,5120000.000000000000000,858.480834960937500,861.469543457031250,2.988708496093750,859.970291137695313,0.932525393452316,6879.762329101562500
,G0800050006100,132,2,1280000.000000000000000,861.590087890625000,862.249511718750000,0.659423828125000,861.919799804687500,0.329711914062500,1723.839599609375000
,G0800050006200,133,4,2560000.000000000000000,857.841552734375000,860.152160644531250,2.310607910156250,858.998657226562500,0.861128257303353,3435.994628906250000
,G0800050006300,134,3,1920000.000000000000000,859.514831542968750,860.914306640625000,1.399475097656250,860.217183430989621,0.571345278835035,2580.651550292968750
,G0800050006400,135,8,5120000.000000000000000,856.517028808593750,859.469482421875000,2.952453613281250,857.987907409667969,0.911980029876087,6863.903259277343750
,G0800050006501,136,4,2560000.000000000000000,852.974670410156250,855.832397460937500,2.857727050781250,854.223556518554688,1.055963245677134,3416.894226074218750
,G0800050006502,137,4,2560000.000000000000000,852.951232910156250,855.133239746093750,2.182006835937500,854.049133300781250,0.813224281675699,3416.196533203125000
,G0800050006601,138,6,3840000.000000000000000,855.868469238281250,858.057678222656250,2.189208984375000,856.958791097005246,0.699667036901603,5141.752746582031250
,G0800050006603,139,5,3200000.000000000000000,853.582702636718750,855.056457519531250,1.473754882812500,854.184814453125000,0.536517126756568,4270.924072265625000
,G0800050006604,140,6,3840000.000000000000000,854.407409667968750,856.585876464843750,2.178466796875000,855.492197672526004,0.693521807901120,5132.953186035156250
,G0800050006704,141,27,17280000.000000000000000,862.437744140625000,867.539672851562500,5.101928710937500,865.387084960937500,1.379585560462058,23365.451293945312500
,G0800050006705,142,15,9600000.000000000000000,860.253784179687500,864.557495117187500,4.303710937500000,862.405232747395871,1.165625817803138,12936.078491210937500
,G0800050006706,143,6,3840000.000000000000000,859.066223144531250,861.497436523437500,2.431213378906250,860.279703776041629,0.803074039171808,5161.678222656250000
,G0800050006707,144,11,7040000.000000000000000,860.265625000000000,863.308349609375000,3.042724609375000,861.908058860085248,0.880645114685848,9480.988647460937500
,G0800050006708,145,4,2560000.000000000000000,857.200683593750000,858.735107421875000,1.534423828125000,857.965545654296875,0.556785286125363,3431.862182617187500
,G0800050006709,146,10,6400000.000000000000000,858.363159179687500,861.573059082031250,3.209899902343750,859.969152832031227,0.928586055831093,8599.691528320312500
,G0800050006711,147,4,2560000.000000000000000,861.757690429687500,863.264953613281250,1.507263183593750,862.509124755859375,0.539409754519954,3450.036499023437500
,G0800050006712,148,14,8960000.000000000000000,863.476989746093750,867.274230957031250,3.797241210937500,864.997105189732110,1.005163837363542,12109.959472656250000
,G0800050006713,149,2,1280000.000000000000000,863.010803222656250,863.623168945312500,0.612365722656250,863.316986083984375,0.306182861328125,1726.633972167968750
,G0800050006808,150,12,7680000.000000000000000,867.215759277343750,870.723449707031250,3.507690429687500,868.968327840169309,0.970686936547311,10427.619934082031250
,G0800050006815,151,11,7040000.000000000000000,862.551635742187500,866.890808105468750,4.339172363281250,864.652859774502872,1.323663935814223,9511.181457519531250
,G0800050006854,152,30,19200000.000000000000000,869.200317382812500,874.897583007812500,5.697265625000000,871.979669189453148,1.437318744021344,26159.390075683593750
,G0800050006855,153,18,11520000.000000000000000,866.522216796875000,871.280822753906250,4.758605957031250,868.989532470703125,1.320571714905149,15641.811584472656250
,G0800050006856,154,45,28800000.000000000000000,861.108947753906250,868.586730957031250,7.477783203125000,865.176778157552121,1.823541963098866,38932.955017089843750
,G0800050006857,155,4,2560000.000000000000000,865.726379394531250,868.357116699218750,2.630737304687500,867.050048828125000,0.980471244368097,3468.200195312500000
,G0800050006858,156,7,4480000.000000000000000,864.816894531250000,867.734130859375000,2.917236328125000,866.275190080915195,0.977663774920391,6063.926330566406250
,G0800050007101,157,3185,2038400000.000000000000000,856.797790527343750,885.121093750000000,28.323303222656250,863.724158749662706,6.750844803678611,2750961.445617675781250
,G0800050007103,158,450,288000000.000000000000000,878.042907714843750,893.971008300781250,15.928100585937500,886.177785101996506,3.314304552756472,398780.003295898437500
,G0800050007104,159,141,90240000.000000000000000,882.216674804687500,891.650329589843750,9.433654785156250,887.554124764516814,2.544475591037087,125145.131591796875000
,G0800050007105,160,222,142080000.000000000000000,882.663452148437500,894.722229003906250,12.058776855468750,890.591926093573989,3.072569884885288,197711.407592773437500
,G0800050007106,161,445,284800000.000000000000000,869.244995117187500,883.197875976562500,13.952880859375000,876.677565396769637,3.271768850330131,390121.516601562500000
,G0800050007107,162,32,20480000.000000000000000,869.874267578125000,877.167602539062500,7.293334960937500,873.530570983886719,2.259343801062641,27952.978271484375000
,G0800050007201,163,5,3200000.000000000000000,881.317932128906250,882.978637695312500,1.660705566406250,882.069372558593727,0.616520799967036,4410.346862792968750
,G0800050007202,164,5,3200000.000000000000000,881.075073242187500,882.263061523437500,1.187988281250000,881.727258300781273,0.403152788598928,4408.636291503906250
,G0800050007301,165,3,1920000.000000000000000,885.476440429687500,886.754455566406250,1.278015136718750,886.118693033854129,0.521767677130958,2658.356079101562500
,G0800050007302,166,4,2560000.000000000000000,882.700500488281250,884.809020996093750,2.108520507812500,883.763320922851563,0.785870845310451,3535.053283691406250
,G0800050007400,167,4,2560000.000000000000000,883.207824707031250,884.359130859375000,1.151306152343750,883.782440185546875,0.413620426024220,3535.129760742187500
,G0800050007500,168,2,1280000.000000000000000,885.022705078125000,885.667724609375000,0.645019531250000,885.345214843750000,0.322509765625000,1770.690429687500000
,G0800050007600,169,5,3200000.000000000000000,884.544860839843750,886.410278320312500,1.865417480468750,885.648510742187455,0.700514249042437,4428.242553710937500
,G0800050007702,170,6,3840000.000000000000000,883.517944335937500,885.298461914062500,1.780517578125000,884.409332275390625,0.575319204227061,5306.455993652343750
,G0800050007703,171,3,1920000.000000000000000,882.198120117187500,883.387756347656250,1.189636230468750,882.766825358072879,0.487068945829019,2648.300476074218750
,G0800050007704,172,1,640000.000000000000000,882.866760253906250,882.866760253906250,0.000000000000000,882.866760253906250,0.000000000000000,882.866760253906250
,G0800050015100,173,6,3840000.000000000000000,870.233703613281250,871.734191894531250,1.500488281250000,871.008015950520871,0.560675222681608,5226.048095703125000
,G0800050080000,174,3,1920000.000000000000000,881.658630371093750,882.322692871093750,0.664062500000000,881.912353515625000,0.292849482525156,2645.737060546875000
,G0800050080100,175,3,1920000.000000000000000,880.511840820312500,881.166259765625000,0.654418945312500,880.924845377604129,0.293426230131751,2642.774536132812500
,G0800050080200,176,4,2560000.000000000000000,879.276672363281250,880.554565429687500,1.277893066406250,879.914306640625000,0.451839368165227,3519.657226562500000
,G0800050080300,177,6,3840000.000000000000000,877.263488769531250,879.265563964843750,2.002075195312500,878.265248616536496,0.642307924602036,5269.591491699218750
,G0800050080400,178,5,3200000.000000000000000,876.550964355468750,878.368774414062500,1.817810058593750,877.381372070312523,0.630273964916844,4386.906860351562500
,G0800050080500,179,3,1920000.000000000000000,878.502990722656250,879.675598144531250,1.172607421875000,879.092183430989621,0.478732409806935,2637.276550292968750
,G0800050080600,180,6,3840000.000000000000000,879.205993652343750,881.080749511718750,1.874755859375000,880.143819173177121,0.594263082664287,5280.862915039062500
,G0800050080700,181,6,3840000.000000000000000,880.548400878906250,882.399047851562500,1.850646972656250,881.474355061848996,0.588588401226289,5288.846130371093750
,G0800050080800,182,3,1920000.000000000000000,881.803649902343750,883.024841308593750,1.221191406250000,882.417297363281250,0.498567984232142,2647.251892089843750
,G0800050080900,183,6,3840000.000000000000000,882.397888183593750,884.208190917968750,1.810302734375000,883.303955078125000,0.580435747523637,5299.823730468750000
,G0800050081000,184,7,4480000.000000000000000,885.359924316406250,887.033203125000000,1.673278808593750,886.158586774553555,0.505328249118877,6203.110107421875000
,G0800050081100,185,8,5120000.000000000000000,883.607482910156250,885.370117187500000,1.762634277343750,884.623321533203125,0.561638035068491,7076.986572265625000
,G0800050081200,186,2,1280000.000000000000000,882.324768066406250,882.977355957031250,0.652587890625000,882.651062011718750,0.326293945312500,1765.302124023437500
,G0800050081300,187,4,2560000.000000000000000,882.879516601562500,884.075561523437500,1.196044921875000,883.476531982421875,0.425050505405296,3533.906127929687500
,G0800050081400,188,8,5120000.000000000000000,880.235412597656250,882.731384277343750,2.495971679687500,881.509117126464844,0.768651847078291,7052.072937011718750
,G0800050081500,189,7,4480000.000000000000000,877.619079589843750,881.299072265625000,3.679992675781250,879.187290736607110,1.133591879378538,6154.311035156250000
,G0800050081600,190,10,6400000.000000000000000,877.410949707031250,881.049255371093750,3.638305664062500,879.324603271484420,1.094278079342837,8793.246032714843750
,G0800050081700,191,4,2560000.000000000000000,874.297363281250000,875.657165527343750,1.359802246093750,874.976089477539063,0.508471020480937,3499.904357910156250
,G0800050081800,192,8,5120000.000000000000000,886.899291992187500,888.519653320312500,1.620361328125000,887.601753234863281,0.512720564719883,7100.814025878906250
,G0800050081900,193,6,3840000.000000000000000,888.092834472656250,889.588378906250000,1.495544433593750,888.843363444010379,0.475641248373143,5333.060180664062500
