"","GISJOIN","state_code","TOTALHH","TOTALPOP","BTUelec","BTUng","BTUlpg","BTUfo","BTUwood"
"299","G0800140030900",8,2201,5809,180970646791.352,380534033740.005,0.00256567453626408,0.000580899999999985,0.00634537342114565
"300","G0800140031100",8,3268,5496,93571883666.4452,118164009106.8,0.00365699677471795,0.000549599999999988,0.00010133338853291
"301","G0800140031200",8,2209,4434,93196819711.8728,127782230380.386,0.00214380497164947,0.00044339999999999,0.00106870311889011
"302","G0800140031300",8,988,2791,95746660609.1656,182625674437.677,0.000514125464871254,0.000279099999999991,0.000668916894638621
"303","G0800140031400",8,1950,5225,176300323361.609,361565580900.167,0.00107343887275748,0.000522499999999987,0.000639645299499575
"304","G0800150000200",8,1885,4188,117616664789.234,222139956185.958,0.0929465569587041,0.000418799999999991,0.057560089527494
"305","G0800150000300",8,1434,3213,94065768315.724,147167315551.986,35102.177556531,0.000321299999999993,31.0366353186015
"306","G0800150000401",8,2018,4733,139235606584.313,227769227099.138,32.4247794722934,0.00047329999999999,0.58370325260963
"307","G0800150000402",8,1293,4166,112518076290.43,203283022904.867,267.338816246877,0.000416599999999991,10.5061548820364
"308","G0800170960600",8,742,2039,57332010524.2362,93349447907.7628,2.24161930185601,0.000203899999999995,0.0885257779398389
"309","G0800190014700",8,2429,5114,153261916897.251,256328256686.297,33.0131832494793,0.000511399999999989,2.08379744859459
"310","G0800190014900",8,1368,2598,61734479613.1777,114027801605.357,0.631059021919189,0.000259799999999994,0.0854044512130954
"311","G0800210974800",8,1421,3735,94043453364.478,171981139957.763,99.0130990467929,0.000373499999999992,77.1974381256189
"312","G0800210974900",8,1647,4407,123509451890.474,202724632980.722,2516.07687723446,0.000440699999999989,1373.73513554073
"313","G0800230972600",8,858,2136,55976060258.7134,93281363055.1306,598828.310978826,0.000213599999999995,739.165203100313
"314","G0800230972700",8,829,1551,36174488447.9445,56880728219.2214,232744.335990402,0.000155099999999997,220.274484952553
"315","G0800250969600",8,1194,5630,162948650225.738,299837326397.62,0.470831771363283,0.000562999999999986,0.375326894104685
"316","G0800270970100",8,2083,4640,134006319256.788,191611498523.793,1935344.40266058,0.00046399999999999,916.929928392925
"317","G0800290964600",8,1531,3527,107129588642.83,168829172885.467,5.87537124815587,0.000352699999999992,2.37258240686387
"318","G0800290964700",8,1629,3815,118919274820.508,207472563444.067,0.190354491601468,0.000381499999999992,0.0820822237807215
"319","G0800290964800",8,1225,4000,113672190663.286,204251054934.308,0.828173761895638,0.000399999999999991,0.304281270887837
"320","G0800290964900",8,2152,5683,157630878669.554,297377544682.002,0.102293379497624,0.000568299999999988,0.114651129671048
"321","G0800290965000",8,1957,4707,140889942772.764,231420252374.69,30.6616671581146,0.00047069999999999,4.47698505398397
"322","G0800290965100",8,1630,4222,112864324356.648,198774368224.422,0.0260374613155585,0.000422199999999991,0.0263898754865577
"323","G0800290965200",8,1758,4392,135520115149.627,229878652222.577,1.40836123438149,0.000439199999999991,2.15037918486005
"324","G0800310000302",8,2131,4589,126187995693.864,228738203012.004,0.00122332899923581,0.00045889999999999,0.00151353183944198
"325","G0800310000402",8,2984,5193,103377567441.788,164241509338.624,0.001337089719872,0.000519299999999989,0.000360647300687143
"326","G0800310000502",8,2773,5844,138763803432.31,219055439338.64,0.00157138288655623,0.000584399999999987,0.00185983565766311
"327","G0800310000600",8,1859,3165,56298459132.4667,74544109574.5666,0.00265782006593523,0.000316499999999993,0.0000885068905114551
"328","G0800310000701",8,2142,4582,87185579767.988,133587099189.322,0.00169291826959985,0.00045819999999999,0.000493585395032704
"329","G0800310000702",8,2078,5568,111673508786.77,178061697764.033,0.00266549211101968,0.000556799999999986,0.00250964518541484
